Species Name	Colony Shape	Corallite Size (mm)	Coralite wall thickness	Columellae size (mm)	Valley width (mm)	No. of Centers per Series	Septal Number	Septal Cycle	Septal Teeth	Columella	Costae	Coenosteum 	Branch diameter (cm)	Surface	Colony Form	Similar species	Comments/Notes
Orbicella franksii	Massive Star	2.4-3.4	thick	1.13	N/A	N/A	24	3	"Irregular, multidirectional with circular bases"	-	-	-	N/A	 Irregular	Plocoid	-	"Corallites: Septotecal walls
Taxonomy: Formerly known as Montastraea franksii"
Porites astreoides	Massive Star	1.2-1.4	-	-	N/A	N/A	12	1	-	Trabecular (well-developed)	-	-	N/A	Lumpy	Subplocoid	-	"Colony shape: Encrusting>massive; lumpy>smooth/nodular
Pali: >2"
Siderastrea radians	Massive Star	2.5-3	-	-	N/A	N/A	30-40	3	-	Trabecular	-	-	N/A	-	Cerioid	-	"Colony shape: Sometimes as free-living mobile balls (<2.5cm) or small flat discs
Corallite: Deep, usually irregular; angular"
Siderastrea siderea	Massive Star	<5	-	-	N/A	N/A	50-60	-	-	Trabecular	-	-	N/A	Smooth	Cerioid	Siderastrea radians	"Colony shape: May also be encrusting
Septa: Tightly compacted 
Corallites: Shallower and larger than Siderastrea radians"
Solenastrea bournoni	Massive Star	2-2.5	-	-	N/A	N/A	-	-	-	Trabecular	-	-	N/A	Smooth/slightly irregular	Plocoid	Solenastrea hyades	"Colony shape: May also be hemispherical fomes 
Corallites: Protruding rims like blisters forming conspicuous dark circles"
Mussa angulosa	Solitary	45-70	-	-	-	<5 (in flabellomeandroid)	6-9/cm	>4	-	Trabecular (well-developed); discontinuous	-	N/A	N/A	-	Phaceloid-Flabellomeandroid	Scolymia cubensis	"Colony shape: May also be flat or hemispherical; branching>solitary
Septa: Prominent tall sharp teeth; septal granules grow in more than one plane"
Scolymia cubensis	Solitary	<100	-	-	N/A	-	80	>5	-	Trabecular; discontinuous	Well-developed	N/A	N/A	-	Solitary	Mussa angulosa; Scolymia lacera (positive ID requires magnified examination of septa)	"Colony shape: Usually attached but may be free-living; tapered base; circular to oval
Septa: Septal granules grow in a single plane
Corallite: Center usually flat to convex, rarely concave"
Mycetophyllia ferox	Thick Leafy	-	-	-	10-15	-	-	-	-	Trabecular (weak/absent); continuous	-	-	N/A	-	Meandroid	-	"Colony shape: Thin; weakly attached
Corallites: Centres in single rows
Valleys: Slightly sinuous"
Mycetophyllia lamarckiana	Thick Leafy	-	-	-	10-15	-	-	-	-	Trabecular (weak/absent); continuous	-	-	N/A	-	Meandroid	-	"Colony shape: Solid, rounded, often circular plates
Valleys: Radiate from original point of growth; one row of mouths
Corallite: Vaguely concentric to plate margins"
Mycetophyllia reesi	Thick Leafy	-	-	-	10-15	-	-	-	-	Trabecular (weak/absent); continuous	-	-	N/A	-	Meandroid	Mycetophyllia lamarckiana	"Colony shape: Thin laminae (sometimes conforming to substrate shape); attached centrally/at the side
Valley: Do not radiate
Corallite: Centers parallel to plate margins"
Porites colonensis	Thick Leafy	1.8-2	-	N/A	N/A	N/A	12	1	-	Absent	-	-	N/A	-	Subplocoid	-	"Colony shape: Thin; sometimes in tiers; smooth or undulating surface
Pali: 5-6"
Agaricia agaricites	Thin Leafy	2-4	-	-	-	-	<36	-	-	Trabecular; discontinuous	-	-	N/A	-	Meandroid	Agaricia undata	"Colony shape: May also be encrusting/thick leaves/irregular projections/flat plates
Corallites: May be unifacial or bifacial
Walls: Angular; pointed ridge tops"
Agaricia fragilis	Thin Leafy	1.9-2.5	-	-	2-4	-	17-36	-	-	Trabecular (weak); discontinuous	-	-	N/A	Uneven concentric circles radiating from center	Meandroid	"Agaricia grahamae, Agaricia undata"	"Corallites: Unifacial; small and close together; face upwards; 
Colony: Nearly smooth underside"
Agaricia grahamae	Thin Leafy	2-2.9	-	-	-	-	18-28	-	-	Trabecular (well-developed); discontinuous	-	-	N/A	-	Meandroid	"Agaricia lamarcki, Agaricia fragilis"	"Colony shape: Flat; whorls; smooth underside
Corallites: Unifacial; concentric rows of ridges with narrow, long and wavy valleys
Septa: thick; do not alternate"
Agaricia lamarcki	Thin Leafy	3.1-4.1	-	-	-	-	20-32	-	-	Trabecular; discontinuous	-	-	N/A	-	Meandroid	Agaricia grahamae	"Colony shape: Flat; may be encrusting; whorls; smooth underside
Corallites: Unifacial; concentric rows of ridges with wide, straight or reticulate valleys
Septa: Alternate long (usually extend close to columella before dropping off sharply) and short (slope gradually into corallite pit)"
Agaricia tenuifolia	Thin Leafy	-	-	-	-	-	-	-	-	-	-	-	N/A	-	Meandroid	-	"Colony shape: Thin margins; contorted; elongate
Corallites: Unifacial
Taxonomy: Commonly assigned to genus Undaria."
Agaricia undata	Thin Leafy	2-2.9	-	-	6-7	-	13-24	-	-	Trabecular (well-developed); discontinuous	-	-	N/A	High rounded concentric ridges	Meandroid	Agaricia fragilis	"Colony shape: Flat or upright; curve upward near edges; smooth underside
Corallites: Unifacial; close together; occur on outward facing edge of walls (collines)
Valleys: Straight, wide, wavy"
Helioseris cucullata	Thin Leafy	<2.5	-	-	-	-	15-22	-	-	Trabecular (weak/none); discontinuous	-	-	N/A	-	Meandroid	Leptoseris mycetoseroides (not in Panama)	"Colony shape: May also be encrusting/tiered; 10-25cm
Corallies: Closely compacted, outwardly incllined; concentric rows; short and discontinuous ridges and valleys
Septa: Alternate long and short (strong)
Taxonomy: Formerly known as Leptseris cucullata"
